,Symbol - Security Name,Previous Close,Average Price,Open,High,Low,Current Close,Change (AED),Change %,No of Trading Days,No. of Trades,Trade Volume,Trade Value,High 52,Low 52,Market Capitalization,Market Capital %,Open Interest,Date
85,CHAE-  Chimera S&P UAE UCITS ETF - Share Class A - Accumulating,4.83,0.0,,0.0,,4.83,,,0.0,0.0,0.0,0.0,5.25,3.71,2415000.0,0.001,,01/02/2022
86,CHAESHIN-  Chimera S&P UAE Shariah ETF- Share class B - Income,6.42,0.0,,0.0,,6.42,,,0.0,0.0,0.0,0.0,6.77,4.71,8025000.0,0.002,,01/02/2022
87,Total of Exchange Traded Funds,,,,,,,,,,0.0,0.0,0.0,,,10440000.0,,,01/02/2022
88,Real Estate Investment Trust,,,,,,,,,,,,,,,,,,01/02/2022
89,AMCREIT-  Al Mal Capital REIT,3.49,0.0,,0.0,,3.49,,,0.0,0.0,0.0,0.0,4.3,1.0,1221723360.0,0.301,,01/02/2022
90,Total of Real Estate Investment Trust,,,,,,,,,,0.0,0.0,0.0,,,1221723360.0,,,01/02/2022
91,Market Trades Total,,,,,,,,,,4191.0,118160310.0,259183474.07,,,405697551086.22,,,01/02/2022
92,Market Grand Total,,,,,,,,,,4191.0,118160310.0,259183474.07,,,405697551086.22,,,01/02/2022
93,Equities Futures,,,,,,,,,,,,,,,,,,01/02/2022
94,AIRARBG22-  AIRARB FUT - February 2022,1.45,0.0,,0.0,,1.44,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
95,AIRARBH22-  AIRARB FUT - March 2022,1.451,0.0,,0.0,,1.44,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
96,AIRARBJ22-  AIRARB FUT - April 2022,1.404,0.0,,0.0,,1.394,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
97,ARMXG22-  ARMX FUT - February 2022,4.09,0.0,,0.0,,4.06,,,0.0,0.0,0.0,0.0,4.1,4.023,0.0,0.0,,01/02/2022
98,ARMXH22-  ARMX FUT - March 2022,4.091,0.0,,0.0,,4.061,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
99,ARMXJ22-  ARMX FUT - April 2022,3.944,0.0,,0.0,,3.914,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
100,DFMG22-  DFM FUT - February 2022,2.38,0.0,,0.0,,2.3,,,0.0,0.0,0.0,0.0,2.75,2.35,0.0,0.0,,01/02/2022
101,DFMH22-  DFM FUT - March 2022,2.381,0.0,,0.0,,2.301,,,0.0,0.0,0.0,0.0,2.7,2.48,0.0,0.0,,01/02/2022
102,DFMJ22-  DFM FUT - April 2022,2.347,0.0,,0.0,,2.272,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
